type,year,country,host,NOC,start,end,duration,disabilities_included,countries,events,sports,participants_m,participants_f,participants,highlights
summer,2000,Australia,Sydney,AUS,23/10/2000,31/10/2000,8,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",123,550,19,2883,988,3871,Sailing and Wheelchair Rugby added as sports. Record ticket sales
summer,2004,Greece,Athens,GRE,23/09/2004,04/10/2004,11,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",135,519,19,2600,1149,3749,Football 5-a-side added as a sport
summer,2008,China,Beijing,CHN,06/09/2008,17/09/2008,11,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",146,472,20,2585,1366,3951,Rowing added as sport. Cumulated TV audience of 3.8 billion
summer,2012,UK,London,GBR,29/08/2012,09/09/2012,11,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",164,530,20,2741,1502,4243,"After an absence of 12 years intellectually disabled athletes competed in athletics, swimming and table tennis"
summer,2016,Brazil,Rio,BRA,07/09/2016,18/09/2016,11,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",160,528,22,2657,1670,4327,Para Canoe and Para Triathlon added as sports bringing total number to 22
summer,2020,Japan,Tokyo,JPN,24/08/2021,05/09/2021,12,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",162,539,22,2547,1846,4393,Para badminton and Para taekwondo were added to the Paralympic programme for the first time.
summer,2024,France,Paris,FRA,27/08/2024,08/09/2024,12,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",,549,22,,,,
summer,2028,USA,Los Angeles,USA,15/08/2028,27/08/2028,12,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",,,22,,,,
winter,1976,Sweden,Ornskoldsvik,SWE,21/02/1976,28/02/1976,7,Spinal injury,16,53,2,161,37,198,Demonstration event: Sledge Racing
winter,1980,Norway,Geilo,NOR,02/02/1980,08/02/1980,6,"Spinal injury, Amputee, Vision Impairment, Les Autres",18,64,2,229,70,299,Demonstration event: Downhill Sledge Racing
winter,1984,Austria,Innsbruck,AUT,15/01/1984,21/01/1984,6,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",21,107,3,325,94,419,Demonstration event at Olympics in Sarajevo: Giant Slalom.
winter,1988,Austria,Innsbruck,AUT,18/01/1988,25/01/1988,7,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",22,97,4,300,77,377,Sit-Ski events introduced in the sports of Alpine and Nordic Skiing
winter,1992,France,Tignes-Albertville,FRA,25/03/1992,02/04/1992,8,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",24,79,3,288,77,365,Biathlon added as a discipline. Demonstration events: Alpine and Cross Country Skiing for athletes with an intellectual disability. First Games to share Olympic venues. Continued ever since
winter,1994,Norway,Lillehammer,NOR,10/03/1994,19/03/1994,9,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",31,133,5,39,90,129,Ice Sledge Hockey added as a sport
winter,1998,Japan,Nagano,JPN,07/03/1998,16/03/1998,9,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",31,122,5,440,122,562,Demonstrated rising media interest in Paralympic Winter Sport
winter,2002,USA,Salt Lake City,USA,09/03/2002,18/03/2002,9,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",36,92,4,328,87,415,Number of tickets on sale had to be augmented due to high demand
winter,2006,Italy,Torino,ITA,12/03/2006,21/03/2006,9,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",38,58,5,375,99,474,Wheelchair Curling added as a new sport.
winter,2010,Canada,Vancouver,CAN,12/03/2010,21/03/2010,9,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",44,64,5,381,121,502,"Ticket sales exceeded 230,000, the most ever."
winter,2014,Russia,Sochi,RUS,07/03/2014,16/03/2014,9,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",45,72,6,411,129,540,"316,200 tickets were sold, the most ever for Paralympic Winter Games. Para snowboard made its Paralympic Winter Games debut as part of IPC Alpine Skiing."
winter,2018,Korea,PyeongChang,KOR,09/03/2018,18/03/2018,9,"Spinal injury, Amputee, Vision Impairment, Cerebral",49,80,6,430,133,563,"Record numbers of spectators (343,000), accredited media (629) and international viewers outside of the host nation (1.87bn)"
winter,2022,China,Beijing,CHN,04/03/2022,13/03/2022,9,"Spinal injury, Amputee, Vision Impairment, Cerebral",46,78,6,422,136,558,Record number of female Para athletes (136) took part in the Games.
winter,2026,Italy,Milano Cortina,ITA,06/03/2026,15/03/2026,9,"Spinal injury, Amputee, Vision Impairment, Cerebral",,79,6,,,,
